PROJECT_ID	TYPE	STATUS	???	???	???	OBJECTIVE	START_DATE	END_DATE	SECTOR	SUB_SECTOR	???	???
BRA/98/004-S048	Cooperação Sul-Sul	Concluído	Legislación de los Recursos Hídricos	Agência Nacional de Águas - ANA - ANA	Legislación de los Recursos Hídricos		28/04/2003	28/04/2004	 Meio Ambiente	 Recursos Hídricos	Agência Nacional de Águas - ANA - ANA	BRA/98/004-S048 - Legislación de los Recursos Hídricos
BRA/98/004-S047	Cooperação Sul-Sul	Concluído	Prevención y Control de ITS/VIH/SIDA en Bolívia	Ministerio Británico de Desarrollo Internacional-Brasil - DFID || Organización Panamericana de Salud/Organización Mundial de la Salud - Brasil - OPS/OMS || Programa Nacional - ETS/SIDA-BRASIL	Prevención y Control de ITS/VIH/SIDA en Bolívia		28/04/2003	28/04/2004	 Saúde	 Controle e Prevenção de Doenças	Ministerio Británico de Desarrollo Internacional-Brasil - DFID || Organización Panamericana de Salud/Organización Mundial de la Salud - Brasil - OPS/OMS || Programa Nacional - ETS/SIDA-BRASIL	BRA/98/004-S047 - Prevención y Control de ITS/VIH/SIDA en Bolívia
BRA/98/004-S049	Cooperação Sul-Sul	Concluído	Proyecto Sistema Electrónico de Contrataciones Estatales	Secretaria de Logística e Tecnologia da Informação - SLTI/MPOG	Proyecto Sistema Electrónico de Contrataciones Estatales		28/04/2003	28/04/2004	 Administração Pública	 Governança Eletrônica	Secretaria de Logística e Tecnologia da Informação - SLTI/MPOG	BRA/98/004-S049 - Proyecto Sistema Electrónico de Contrataciones Estatales
BRA/98/004-A017	Cooperação Sul-Sul	Concluído	Missão técnica nas Áreas de Agricultura e Meio Ambiente.	Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA	Missão técnica nas Áreas de Agricultura e Meio Ambiente.		04/05/2003	08/05/2003	 Cooperação Técnica	 Missão de Prospecção/Multidisciplinar	Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA	BRA/98/004-A017 - Missão técnica nas Áreas de Agricultura e Meio Ambiente.
BRA/98/004-A019	Cooperação Sul-Sul	Concluído	Sistema de Cadastro Único de Programas Sociais	Instituto Nacional de Propriedade Industrial - INPI	Sistema de Cadastro Único de Programas Sociais		05/05/2003	10/12/2003	 Cooperação Técnica	 Missão de Prospecção/Multidisciplinar	Instituto Nacional de Propriedade Industrial - INPI	BRA/98/004-A019 - Sistema de Cadastro Único de Programas Sociais
BRA/98/004-A020	Cooperação Sul-Sul	Concluído	Capacitação en Metodologia de Evaluación de Activos Mineros	Serviço Geológico do Brasil  - Companhia de Pesquisa de Recursos Minerais -CPRM - CPRM	Capacitação en Metodologia de Evaluación de Activos Mineros		02/06/2003	28/02/2004	 Minas e Energia	 Mineração	Serviço Geológico do Brasil  - Companhia de Pesquisa de Recursos Minerais -CPRM - CPRM	BRA/98/004-A020 - Capacitação en Metodologia de Evaluación de Activos Mineros
BRA/98/004-A021	Cooperação Sul-Sul	Concluído	Preparação da visita do Presidente da República do Brasil ao projeto Centro de Formação Profissional Brasil-Angola e desenvolvimento de ações de cooperação técnica no âmbito do referido Projeto - Fase III	Serviço Nacional de aprendizagem Industrial (Brasil) - SENAI	Preparação da visita do Presidente da República do Brasil ao projeto Centro de Formação Profissional Brasil-Angola e desenvolvimento de ações de cooperação técnica no âmbito do referido Projeto - Fase III		18/06/2003	31/10/2003	 Educação	 Formação Profissional	Serviço Nacional de aprendizagem Industrial (Brasil) - SENAI	BRA/98/004-A021 - Preparação da visita do Presidente da República do Brasil ao projeto Centro de Formação Profissional Brasil-Angola e desenvolvimento de ações de cooperação técnica no âmbito do referido Projeto - Fase III
BRA/98/004-S051	Cooperação Sul-Sul	Concluído	Mejoramiento de los Servicios de Defensa Zoosanitaria y Diagnóstico de Laboratorio Veterinario.	Universidade Federal da Bahia/ Escola de Medicina Veterinária - UFBA/EMV	Mejoramiento de los Servicios de Defensa Zoosanitaria y Diagnóstico de Laboratorio Veterinario.		24/06/2003	24/10/2006	 Pecuária	 Defesa Sanitária Animal	Universidade Federal da Bahia/ Escola de Medicina Veterinária - UFBA/EMV	BRA/98/004-S051 - Mejoramiento de los Servicios de Defensa Zoosanitaria y Diagnóstico de Laboratorio Veterinario.
BRA/98/004-S053	Cooperação Sul-Sul	Concluído	Control de Rabia Silvestre.	Ministério da Agricultura, Pecuária e Abastecimento - MAPA	Control de Rabia Silvestre.		24/06/2003	24/12/2004	 Pecuária	 Defesa Sanitária Animal	Ministério da Agricultura, Pecuária e Abastecimento - MAPA	BRA/98/004-S053 - Control de Rabia Silvestre.
BRA/98/004-S052	Cooperação Sul-Sul	Concluído	Fortalecimiento Institucional Entidades Prestadoras de Servicios de Saneamiento del Peru - Tratamiento de Aguas Residuales y Lodos de Alcantarillado Sanitario.	Companhia de Água e Esgotos de Brasília - CAESB	Fortalecimiento Institucional Entidades Prestadoras de Servicios de Saneamiento del Peru - Tratamiento de Aguas Residuales y Lodos de Alcantarillado Sanitario.		24/06/2003	24/10/2006	 Cidades	 Saneamento	Companhia de Água e Esgotos de Brasília - CAESB	BRA/98/004-S052 - Fortalecimiento Institucional Entidades Prestadoras de Servicios de Saneamiento del Peru - Tratamiento de Aguas Residuales y Lodos de Alcantarillado Sanitario.
