jornal	pagina	data	url	pdf_name	txt_name
3	4	2006-04-04	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=4&data=04/04/2006&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=4&data=04%2F04%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=4&data=04%2F04%2F2006&captchafield=firistAccess.txt
3	4	2006-03-29	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=4&data=29/03/2006&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=4&data=29%2F03%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=4&data=29%2F03%2F2006&captchafield=firistAccess.txt
3	70	2006-04-04	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=70&data=04/04/2006&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=70&data=04%2F04%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=70&data=04%2F04%2F2006&captchafield=firistAccess.txt
1	16	2006-07-06	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=1&pagina=16&data=06/07/2006&captchafield=firistAccess	INPDFViewer?jornal=1&pagina=16&data=06%2F07%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=1&pagina=16&data=06%2F07%2F2006&captchafield=firistAccess.txt
2	2	2006-07-07	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=2&data=07/07/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=2&data=07%2F07%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=2&data=07%2F07%2F2006&captchafield=firistAccess.txt
2	31	2006-08-08	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=31&data=08/08/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=31&data=08%2F08%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=31&data=08%2F08%2F2006&captchafield=firistAccess.txt
2	33	2006-07-24	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=33&data=24/07/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=33&data=24%2F07%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=33&data=24%2F07%2F2006&captchafield=firistAccess.txt
2	4	2006-07-05	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=4&data=05/07/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=4&data=05%2F07%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=4&data=05%2F07%2F2006&captchafield=firistAccess.txt
2	4	2006-07-20	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=4&data=20/07/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=4&data=20%2F07%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=4&data=20%2F07%2F2006&captchafield=firistAccess.txt
2	4	2006-07-21	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=4&data=21/07/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=4&data=21%2F07%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=4&data=21%2F07%2F2006&captchafield=firistAccess.txt
2	4	2006-07-26	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=4&data=26/07/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=4&data=26%2F07%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=4&data=26%2F07%2F2006&captchafield=firistAccess.txt
3	2	2006-07-05	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=2&data=05/07/2006&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=2&data=05%2F07%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=2&data=05%2F07%2F2006&captchafield=firistAccess.txt
3	5	2006-08-07	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=5&data=07/08/2006&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=5&data=07%2F08%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=5&data=07%2F08%2F2006&captchafield=firistAccess.txt
1	47	2006-08-23	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=1&pagina=47&data=23/08/2006&captchafield=firistAccess	INPDFViewer?jornal=1&pagina=47&data=23%2F08%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=1&pagina=47&data=23%2F08%2F2006&captchafield=firistAccess.txt
2	17	2006-09-11	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=17&data=11/09/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=17&data=11%2F09%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=17&data=11%2F09%2F2006&captchafield=firistAccess.txt
2	23	2006-09-12	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=23&data=12/09/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=23&data=12%2F09%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=23&data=12%2F09%2F2006&captchafield=firistAccess.txt
2	25	2006-09-08	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=25&data=08/09/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=25&data=08%2F09%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=25&data=08%2F09%2F2006&captchafield=firistAccess.txt
2	2	2006-08-28	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=2&data=28/08/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=2&data=28%2F08%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=2&data=28%2F08%2F2006&captchafield=firistAccess.txt
2	3	2006-09-01	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=3&data=01/09/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=3&data=01%2F09%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=3&data=01%2F09%2F2006&captchafield=firistAccess.txt
2	5	2006-08-23	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=5&data=23/08/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=5&data=23%2F08%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=5&data=23%2F08%2F2006&captchafield=firistAccess.txt
3	1	2006-09-04	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=1&data=04/09/2006&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=1&data=04%2F09%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=1&data=04%2F09%2F2006&captchafield=firistAccess.txt
3	69	2006-09-04	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=69&data=04/09/2006&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=69&data=04%2F09%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=69&data=04%2F09%2F2006&captchafield=firistAccess.txt
3	70	2006-08-25	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=70&data=25/08/2006&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=70&data=25%2F08%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=70&data=25%2F08%2F2006&captchafield=firistAccess.txt
1	94	2006-01-05	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=1&pagina=94&data=05/01/2006&captchafield=firistAccess	INPDFViewer?jornal=1&pagina=94&data=05%2F01%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=1&pagina=94&data=05%2F01%2F2006&captchafield=firistAccess.txt
